2023/11/21 14:31:07 [warn] 1#1: the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
nginx: [warn] the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
2023/11/21 14:31:07 [notice] 1#1: using the "epoll" event method
2023/11/21 14:31:07 [notice] 1#1: nginx/1.25.2
2023/11/21 14:31:07 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2023/11/21 14:31:07 [notice] 1#1: OS: Linux 6.2.0-1015-aws
2023/11/21 14:31:07 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/11/21 14:31:07 [notice] 1#1: start worker processes
2023/11/21 14:31:07 [notice] 1#1: start worker process 7
2023/11/21 14:31:07 [notice] 1#1: start worker process 8
2023/11/21 14:31:07 [notice] 1#1: start worker process 9
2023/11/21 14:31:07 [notice] 1#1: start worker process 10
2023/11/21 14:31:07 [notice] 1#1: start worker process 11
2023/11/21 14:31:07 [notice] 1#1: start worker process 12
2023/11/21 14:31:07 [notice] 1#1: start worker process 13
2023/11/21 14:31:07 [notice] 1#1: start worker process 14
2023/11/21 14:31:07 [notice] 1#1: start worker process 15
2023/11/21 14:31:07 [notice] 1#1: start worker process 16
2023/11/21 14:31:07 [notice] 1#1: start worker process 17
2023/11/21 14:31:07 [notice] 1#1: start worker process 18
2023/11/21 14:31:07 [notice] 1#1: start worker process 19
2023/11/21 14:31:07 [notice] 1#1: start worker process 20
2023/11/21 14:31:07 [notice] 1#1: start worker process 21
2023/11/21 14:31:07 [notice] 1#1: start worker process 22
***HIDDEN*** - - [21/Nov/2023:14:31:08 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:32:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:32:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:33:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:33:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:34:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:34:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:35:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:35:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:36:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:36:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:37:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:37:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:38:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:38:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:39:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:39:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:40:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:40:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:41:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:41:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:42:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:42:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:43:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:43:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:44:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:44:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:45:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:45:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:46:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:46:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:47:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:47:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:48:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:48:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:49:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:49:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:50:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:50:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:51:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:51:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:52:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:52:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:53:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:53:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:54:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:54:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:55:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:55:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:56:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:56:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:57:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:57:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:58:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:58:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:59:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:14:59:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:00:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:00:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:01:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:01:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:02:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:02:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:03:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:03:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:04:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:04:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:05:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:05:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:06:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:06:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:07:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:07:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:08:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:08:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:09:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:09:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:10:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:10:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:11:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:11:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:12:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:12:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:13:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:13:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:14:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:14:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:15:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:15:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:16:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:16:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:17:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:17:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:18:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:18:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:19:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:19:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:20:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:20:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:21:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:21:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:22:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:22:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:23:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:23:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:24:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:24:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:25:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:25:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:15:26:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
